image,style,gt_x,gt_y,num_candidates,min_dist_gt,best_cand_x,best_cand_y,pred_x,pred_y,pred_err,hit_5,hit_10,hit_25,hit_50,hit_75,hit_100,category
00072.png,FinFET,306.63,443.71,50,96.24,373.50,374.50,501.69,943.57,536.57,False,False,False,False,False,True,SUCCESS
00073.png,FinFET,755.27,159.88,50,72.41,683.50,169.50,234.55,934.51,933.38,False,False,False,False,True,True,SUCCESS
00074.png,FinFET,289.83,192.03,50,2.17,292.00,192.00,950.00,190.00,660.17,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00075.png,DRAM,705.12,713.97,50,133.63,676.50,844.50,597.57,332.60,396.25,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00076.png,FinFET,154.63,398.94,50,79.44,209.50,341.50,284.50,343.50,141.21,False,False,False,False,False,True,SUCCESS
00077.png,DRAM,539.33,670.59,50,35.40,531.00,705.00,119.05,823.06,447.08,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00078.png,FinFET,736.03,141.11,50,134.54,842.00,224.00,544.15,700.96,591.82,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00079.png,DRAM,735.24,531.29,50,13.52,724.50,539.50,377.70,375.67,389.94,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00080.png,DRAM,844.60,301.77,50,64.77,789.00,335.00,463.39,769.90,603.71,False,False,False,False,True,True,SUCCESS
00081.png,DRAM,747.12,727.34,50,82.92,817.50,683.50,668.17,767.49,88.57,False,False,False,False,False,True,SUCCESS
00082.png,DRAM,379.56,151.29,50,125.13,254.50,155.50,541.60,654.46,528.62,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00083.png,FinFET,655.94,841.17,50,42.37,685.00,872.00,442.04,282.03,598.65,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00084.png,DRAM,222.38,223.81,50,26.89,196.50,216.50,161.46,718.44,498.37,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00085.png,FinFET,178.74,357.91,50,106.05,275.50,314.50,463.55,301.51,290.34,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00086.png,DRAM,890.11,744.77,50,117.97,773.00,759.00,353.58,184.00,776.10,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00087.png,FinFET,627.31,207.27,50,163.80,605.00,45.00,907.60,558.47,449.34,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00088.png,FinFET,601.77,773.37,50,125.07,478.50,794.50,941.65,590.49,385.96,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00089.png,FinFET,532.79,898.15,50,172.64,367.00,850.00,815.16,106.91,840.11,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00090.png,FinFET,516.91,293.06,50,195.14,569.00,105.00,784.51,686.49,475.81,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00091.png,DRAM,819.47,333.80,50,103.97,716.00,344.00,265.97,197.05,570.15,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00092.png,FinFET,346.34,218.46,50,88.99,424.00,175.00,442.00,137.93,125.04,False,False,False,False,False,True,SUCCESS
00093.png,DRAM,593.39,249.12,50,0.62,594.00,249.00,803.52,55.11,286.00,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00094.png,DRAM,694.22,110.04,50,20.48,674.50,104.50,597.47,573.33,473.29,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00095.png,FinFET,452.91,205.04,50,21.91,431.00,205.00,640.65,945.10,763.50,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00096.png,DRAM,282.83,246.31,50,31.92,260.00,224.00,231.00,703.00,459.62,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00097.png,DRAM,718.61,282.52,50,126.82,843.50,260.50,154.91,667.98,682.88,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00098.png,FinFET,125.75,636.77,50,50.78,176.50,638.50,57.50,921.29,292.59,False,False,False,False,True,True,SUCCESS
00099.png,DRAM,847.99,539.77,50,52.23,800.50,561.50,76.28,593.85,773.60,False,False,False,False,True,True,SUCCESS
00100.png,DRAM,601.19,760.62,50,126.35,727.50,757.50,88.37,857.59,521.91,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00101.png,FinFET,509.54,402.37,50,16.06,493.50,401.50,203.62,54.64,463.15,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00102.png,DRAM,262.42,532.33,50,250.64,303.00,285.00,608.49,218.63,467.09,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00103.png,FinFET,757.84,142.63,50,132.66,890.50,142.50,690.19,503.90,367.55,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00104.png,FinFET,519.83,372.85,50,42.36,477.50,374.50,248.53,382.51,271.47,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00105.png,DRAM,904.81,815.21,50,76.45,872.50,884.50,878.35,251.56,564.27,False,False,False,False,False,True,SUCCESS
00106.png,DRAM,565.73,213.40,50,66.34,500.50,225.50,469.46,348.49,165.89,False,False,False,False,True,True,SUCCESS
00107.png,DRAM,223.28,789.08,50,68.74,259.50,847.50,689.58,867.50,472.85,False,False,False,False,True,True,SUCCESS
00108.png,FinFET,787.57,119.13,50,52.71,831.00,149.00,797.96,211.90,93.35,False,False,False,False,True,True,SUCCESS
00109.png,FinFET,611.56,165.62,50,85.51,674.50,223.50,646.50,693.50,529.04,False,False,False,False,False,True,SUCCESS
00110.png,DRAM,251.24,805.18,50,48.85,253.00,854.00,608.27,301.01,617.78,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00111.png,DRAM,463.52,380.05,50,33.50,431.00,372.00,315.95,903.01,543.38,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00112.png,DRAM,727.72,483.03,50,170.21,880.00,407.00,932.91,712.01,307.46,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00113.png,DRAM,639.15,737.84,50,98.66,540.50,736.50,820.49,698.52,185.56,False,False,False,False,False,True,SUCCESS
00114.png,DRAM,521.73,408.32,50,144.73,476.00,271.00,610.19,216.00,211.69,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00115.png,DRAM,825.45,159.31,50,365.05,545.00,393.00,571.97,784.97,675.06,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00116.png,DRAM,623.54,619.14,50,46.56,587.00,648.00,575.02,648.00,56.46,False,False,False,True,True,True,SUCCESS
00117.png,FinFET,399.65,599.28,50,134.76,274.00,648.00,472.08,743.91,161.76,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00118.png,FinFET,794.95,147.47,50,80.18,776.50,225.50,340.19,218.38,460.26,False,False,False,False,False,True,SUCCESS
00119.png,FinFET,277.21,839.81,50,188.58,94.50,886.50,667.46,372.45,608.87,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00120.png,DRAM,331.92,207.95,50,47.60,373.00,232.00,400.05,871.95,667.49,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00121.png,DRAM,429.94,133.00,50,30.73,459.00,123.00,586.03,119.98,156.63,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00122.png,FinFET,378.83,538.72,50,116.00,445.00,634.00,661.06,395.01,316.72,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00123.png,FinFET,428.10,650.65,50,25.96,430.50,676.50,500.05,379.34,280.69,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00124.png,DRAM,368.73,767.73,50,50.42,407.50,735.50,560.47,370.58,441.02,False,False,False,False,True,True,SUCCESS
00125.png,FinFET,874.61,341.16,50,185.36,689.50,331.50,506.37,661.29,487.94,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00126.png,FinFET,249.36,117.96,50,39.61,258.50,156.50,403.54,253.51,205.29,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00127.png,FinFET,858.65,249.20,50,0.40,859.00,249.00,858.98,248.94,0.42,True,True,True,True,True,True,SUCCESS
00128.png,FinFET,614.59,457.31,50,118.50,497.00,472.00,520.42,789.91,345.68,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00129.png,FinFET,808.83,590.55,50,21.84,817.50,570.50,807.49,56.49,534.06,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00130.png,DRAM,137.15,138.91,50,39.68,97.50,140.50,496.55,422.57,457.85,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00131.png,FinFET,533.68,592.26,50,145.84,539.00,738.00,580.50,309.36,286.74,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00132.png,DRAM,499.08,332.71,50,60.45,471.50,386.50,763.54,311.46,265.31,False,False,False,False,True,True,SUCCESS
00133.png,FinFET,699.40,158.89,50,127.60,592.00,90.00,721.19,690.27,531.83,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00134.png,FinFET,152.41,469.16,50,1.42,151.00,469.00,241.29,561.90,128.45,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00135.png,FinFET,733.30,680.95,50,12.70,746.00,681.00,511.02,714.96,224.86,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00136.png,DRAM,680.00,786.64,50,69.39,749.00,794.00,242.84,78.15,832.51,False,False,False,False,True,True,SUCCESS
00137.png,DRAM,299.53,128.27,50,102.58,351.00,217.00,319.69,398.01,270.49,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00138.png,DRAM,657.81,204.09,50,52.38,607.50,189.50,607.51,189.47,52.38,False,False,False,False,True,True,SUCCESS
00139.png,FinFET,727.58,417.73,50,114.14,613.50,421.50,477.60,694.52,372.96,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00140.png,FinFET,148.62,665.77,50,77.21,71.50,669.50,457.75,163.46,589.81,False,False,False,False,False,True,SUCCESS
00141.png,FinFET,884.87,579.82,50,23.99,890.50,556.50,893.50,53.84,526.05,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00142.png,FinFET,840.94,483.82,50,26.24,820.00,468.00,773.15,213.86,278.34,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00143.png,DRAM,881.26,408.90,50,49.13,927.50,425.50,355.41,82.29,619.03,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00144.png,FinFET,502.35,283.81,50,81.67,452.50,348.50,371.51,347.55,145.54,False,False,False,False,False,True,SUCCESS
00145.png,DRAM,476.55,531.63,50,92.70,429.50,611.50,683.44,60.54,514.52,False,False,False,False,False,True,SUCCESS
00146.png,FinFET,295.52,406.35,50,1.03,294.50,406.50,862.43,442.46,568.06,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00147.png,DRAM,550.31,778.63,50,117.83,516.50,891.50,916.37,877.58,379.20,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00148.png,DRAM,636.91,208.26,50,11.26,637.00,197.00,456.00,183.96,182.54,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00149.png,DRAM,660.71,403.44,50,78.60,651.50,481.50,277.39,99.17,489.40,False,False,False,False,False,True,SUCCESS
00150.png,FinFET,771.24,405.81,50,56.21,823.50,426.50,333.55,786.94,580.38,False,False,False,False,True,True,SUCCESS
00151.png,DRAM,875.93,574.10,50,106.80,799.50,499.50,905.02,324.96,250.83,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00152.png,FinFET,367.12,773.98,50,9.50,366.50,764.50,437.59,767.46,70.77,False,True,True,True,True,True,FINE_SEARCH_FAILURE
00153.png,FinFET,495.77,575.02,50,40.03,495.00,535.00,592.22,155.10,430.85,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00154.png,FinFET,326.82,286.48,50,236.43,467.50,476.50,902.56,674.32,694.19,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00155.png,FinFET,660.58,321.29,50,68.26,607.00,279.00,560.03,576.11,273.94,False,False,False,False,True,True,SUCCESS
00156.png,FinFET,332.42,124.03,50,141.28,473.50,131.50,435.46,408.45,302.51,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00157.png,FinFET,110.07,223.80,50,203.96,275.50,104.50,456.51,761.50,639.64,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00158.png,DRAM,769.31,497.75,50,120.85,885.50,464.50,784.50,271.50,226.76,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00159.png,DRAM,608.40,226.76,50,133.49,545.50,344.50,59.50,361.60,565.22,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00160.png,FinFET,134.92,782.14,50,49.24,164.50,821.50,485.48,371.49,539.93,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00161.png,FinFET,450.86,402.60,50,154.03,577.00,491.00,700.99,834.07,498.73,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00162.png,FinFET,349.24,275.98,50,223.17,159.50,158.50,648.35,930.98,720.06,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00163.png,FinFET,685.57,493.82,50,2.18,683.50,494.50,304.25,291.60,431.62,True,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00164.png,FinFET,513.46,833.79,50,78.96,546.50,905.50,358.56,194.90,657.40,False,False,False,False,False,True,SUCCESS
00165.png,FinFET,851.69,472.61,50,22.89,851.50,495.50,337.44,655.34,545.75,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00166.png,FinFET,660.75,159.09,50,197.31,733.50,342.50,803.13,762.54,620.01,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00167.png,DRAM,349.70,144.34,50,52.37,298.00,136.00,352.32,423.26,278.93,False,False,False,False,True,True,SUCCESS
00168.png,FinFET,768.61,322.32,50,143.40,783.00,465.00,907.88,507.00,231.30,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00169.png,DRAM,342.20,420.59,50,132.40,230.50,349.50,196.74,68.54,380.92,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00170.png,FinFET,703.62,187.85,50,21.38,725.00,188.00,760.88,819.03,633.78,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00171.png,DRAM,466.62,77.73,50,267.99,407.00,339.00,409.00,385.08,312.70,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00172.png,FinFET,217.02,542.30,50,62.53,279.00,534.00,756.39,143.49,670.80,False,False,False,False,True,True,SUCCESS
00173.png,FinFET,136.65,432.57,50,106.01,212.00,358.00,712.01,145.97,642.79,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00174.png,FinFET,513.87,783.43,50,247.53,266.50,774.50,211.53,690.46,316.31,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00175.png,FinFET,204.18,556.06,50,208.09,234.00,762.00,171.92,941.01,386.30,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00176.png,DRAM,120.16,124.91,50,57.67,96.50,177.50,533.39,500.55,558.45,False,False,False,False,True,True,SUCCESS
00177.png,DRAM,503.59,464.39,50,143.16,555.00,598.00,856.05,607.01,380.22,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00178.png,DRAM,770.33,868.97,50,13.94,781.00,860.00,277.19,939.85,498.20,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00179.png,FinFET,294.42,469.14,50,23.65,311.00,486.00,786.57,57.53,641.59,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00180.png,DRAM,511.89,672.49,50,72.93,473.50,734.50,836.61,129.46,632.71,False,False,False,False,True,True,SUCCESS
00181.png,DRAM,442.10,326.34,50,78.54,373.00,289.00,933.01,630.89,577.71,False,False,False,False,False,True,SUCCESS
00182.png,FinFET,249.62,291.74,50,91.20,158.50,295.50,328.54,610.53,328.41,False,False,False,False,False,True,SUCCESS
00183.png,DRAM,477.16,521.60,50,9.92,476.50,531.50,418.53,174.51,352.01,False,True,True,True,True,True,CANDIDATE_RANKING_FAILURE
00184.png,DRAM,678.93,580.40,50,232.10,456.00,645.00,215.86,336.01,523.60,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00185.png,FinFET,525.96,698.80,50,120.69,644.50,721.50,679.50,914.69,264.92,False,False,False,False,False,False,CANDIDATE_GENERATION_FAILURE
00186.png,DRAM,310.18,281.11,50,12.18,300.50,288.50,303.51,61.50,219.71,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00187.png,DRAM,878.22,129.74,50,30.05,903.50,113.50,444.73,875.47,862.57,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00188.png,DRAM,577.46,635.08,50,99.97,507.00,706.00,737.52,743.68,193.42,False,False,False,False,False,True,SUCCESS
00189.png,DRAM,649.95,390.89,50,83.00,695.50,321.50,297.11,156.02,423.86,False,False,False,False,False,True,SUCCESS
00190.png,DRAM,471.94,133.39,50,30.34,445.50,118.50,104.64,920.59,868.67,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
00191.png,DRAM,513.78,404.08,50,23.54,492.00,413.00,521.96,653.98,250.03,False,False,True,True,True,True,CANDIDATE_RANKING_FAILURE
00192.png,FinFET,306.66,840.61,50,58.41,305.00,899.00,221.07,942.89,133.37,False,False,False,False,True,True,SUCCESS
00193.png,FinFET,652.91,124.84,50,51.72,650.50,176.50,272.50,895.26,859.22,False,False,False,False,True,True,SUCCESS
00194.png,FinFET,817.63,413.46,50,49.47,860.00,439.00,391.57,60.92,553.01,False,False,False,True,True,True,CANDIDATE_RANKING_FAILURE
